word,meaning,sentence,sentence_meaning,category
kilogram,公斤,The word 'kilogram' means 公斤 in Chinese.,單字 'kilogram' 在中文裡的意思是公斤。,12. Places & locations
mile,哩,The word 'mile' means 哩 in Chinese.,單字 'mile' 在中文裡的意思是哩。,12. Places & locations
pound,磅,The word 'pound' means 磅 in Chinese.,單字 'pound' 在中文裡的意思是磅。,12. Places & locations
circle,圓,The word 'circle' means 圓 in Chinese.,單字 'circle' 在中文裡的意思是圓。,12. Places & locations
dot,小圓點,The word 'dot' means 小圓點 in Chinese.,單字 'dot' 在中文裡的意思是小圓點。,12. Places & locations
line,線,The word 'line' means 線 in Chinese.,單字 'line' 在中文裡的意思是線。,12. Places & locations
point,點,The word 'point' means 點 in Chinese.,單字 'point' 在中文裡的意思是點。,15. Occupations
size,尺寸,The word 'size' means 尺寸 in Chinese.,單字 'size' 在中文裡的意思是尺寸。,15. Occupations
shape,形狀,The word 'shape' means 形狀 in Chinese.,單字 'shape' 在中文裡的意思是形狀。,15. Occupations
square,正方形,The word 'square' means 正方形 in Chinese.,單字 'square' 在中文裡的意思是正方形。,15. Occupations
big,大,The house is very big.,這間房子非常大。,15. Occupations
far,遠,The word 'far' means 遠 in Chinese.,單字 'far' 在中文裡的意思是遠。,15. Occupations
high,高,The word 'high' means 高 in Chinese.,單字 'high' 在中文裡的意思是高。,15. Occupations
large,大,The word 'large' means 大 in Chinese.,單字 'large' 在中文裡的意思是大。,15. Occupations
little,小,The word 'little' means 小 in Chinese.,單字 'little' 在中文裡的意思是小。,15. Occupations
long,長,The word 'long' means 長 in Chinese.,單字 'long' 在中文裡的意思是長。,15. Occupations
low,低,The word 'low' means 低 in Chinese.,單字 'low' 在中文裡的意思是低。,15. Occupations
medium,中間,The word 'medium' means 中間 in Chinese.,單字 'medium' 在中文裡的意思是中間。,15. Occupations
short,短；矮,The house is very short.,這間房子非常短；矮。,15. Occupations
small,小,The house is very small.,這間房子非常小。,15. Occupations
straight,直,The word 'straight' means 直 in Chinese.,單字 'straight' 在中文裡的意思是直。,15. Occupations
round,圓的,The word 'round' means 圓的 in Chinese.,單字 'round' 在中文裡的意思是圓的。,15. Occupations
bottle,瓶子,The word 'bottle' means 瓶子 in Chinese.,單字 'bottle' 在中文裡的意思是瓶子。,15. Occupations
cup,杯子,The word 'cup' means 杯子 in Chinese.,單字 'cup' 在中文裡的意思是杯子。,15. Occupations
dozen,一打,The word 'dozen' means 一打 in Chinese.,單字 'dozen' 在中文裡的意思是一打。,15. Occupations
glass,杯子,The word 'glass' means 杯子 in Chinese.,單字 'glass' 在中文裡的意思是杯子。,15. Occupations
pack,包,The word 'pack' means 包 in Chinese.,單字 'pack' 在中文裡的意思是包。,15. Occupations
package,包裝,The word 'package' means 包裝 in Chinese.,單字 'package' 在中文裡的意思是包裝。,15. Occupations
pair,一雙；一對,The word 'pair' means 一雙；一對 in Chinese.,單字 'pair' 在中文裡的意思是一雙；一對。,15. Occupations
piece,片,The word 'piece' means 片 in Chinese.,單字 'piece' 在中文裡的意思是片。,15. Occupations
businessman,生,The word 'businessman' means 生 in Chinese.,單字 'businessman' 在中文裡的意思是生。,15. Occupations
boss,老闆,The word 'boss' means 老闆 in Chinese.,單字 'boss' 在中文裡的意思是老闆。,15. Occupations
doctor,醫生,He is a good doctor.,他是一位好醫生。,15. Occupations
driver,司機意人,The word 'driver' means 司機意人 in Chinese.,單字 'driver' 在中文裡的意思是司機意人。,15. Occupations
mailman (mail police officer,警,The word 'mailman (mail police officer' means 警 in Chinese.,單字 'mailman (mail police officer' 在中文裡的意思是警。,15. Occupations
farmer,農夫,The word 'farmer' means 農夫 in Chinese.,單字 'farmer' 在中文裡的意思是農夫。,15. Occupations
fisherman,漁夫,The word 'fisherman' means 漁夫 in Chinese.,單字 'fisherman' 在中文裡的意思是漁夫。,15. Occupations
nurse,護士,He is a good nurse.,他是一位好護士。,15. Occupations
carrier),郵差察,The word 'carrier)' means 郵差察 in Chinese.,單字 'carrier)' 在中文裡的意思是郵差察。,15. Occupations
waitress shopkeeper,店主,The word 'waitress shopkeeper' means 店主 in Chinese.,單字 'waitress shopkeeper' 在中文裡的意思是店主。,15. Occupations
singer,歌手,The word 'singer' means 歌手 in Chinese.,單字 'singer' 在中文裡的意思是歌手。,15. Occupations
waiter,服務生,The word 'waiter' means 服務生 in Chinese.,單字 'waiter' 在中文裡的意思是服務生。,15. Occupations
worker,工人女服務生,The word 'worker' means 工人女服務生 in Chinese.,單字 'worker' 在中文裡的意思是工人女服務生。,15. Occupations
writer,作者,The word 'writer' means 作者 in Chinese.,單字 'writer' 在中文裡的意思是作者。,15. Occupations
business,生意,The word 'business' means 生意 in Chinese.,單字 'business' 在中文裡的意思是生意。,15. Occupations
job,工作,The word 'job' means 工作 in Chinese.,單字 'job' 在中文裡的意思是工作。,15. Occupations
work,工作,The word 'work' means 工作 in Chinese.,單字 'work' 在中文裡的意思是工作。,15. Occupations
weather,天氣,The word 'weather' means 天氣 in Chinese.,單字 'weather' 在中文裡的意思是天氣。,15. Occupations
sunny,晴朗的,The word 'sunny' means 晴朗的 in Chinese.,單字 'sunny' 在中文裡的意思是晴朗的。,15. Occupations
cloudy,多雲的,The word 'cloudy' means 多雲的 in Chinese.,單字 'cloudy' 在中文裡的意思是多雲的。,15. Occupations
cold,冷的,The word 'cold' means 冷的 in Chinese.,單字 'cold' 在中文裡的意思是冷的。,15. Occupations
cool,涼的,The word 'cool' means 涼的 in Chinese.,單字 'cool' 在中文裡的意思是涼的。,15. Occupations
dry,乾燥的,The word 'dry' means 乾燥的 in Chinese.,單字 'dry' 在中文裡的意思是乾燥的。,15. Occupations
rainy,下雨的,The word 'rainy' means 下雨的 in Chinese.,單字 'rainy' 在中文裡的意思是下雨的。,15. Occupations
snowy,下雪的,The word 'snowy' means 下雪的 in Chinese.,單字 'snowy' 在中文裡的意思是下雪的。,15. Occupations
star,星星,The word 'star' means 星星 in Chinese.,單字 'star' 在中文裡的意思是星星。,15. Occupations
warm,溫暖的,The word 'warm' means 溫暖的 in Chinese.,單字 'warm' 在中文裡的意思是溫暖的。,15. Occupations
wet,溼的,The word 'wet' means 溼的 in Chinese.,單字 'wet' 在中文裡的意思是溼的。,15. Occupations
windy,大風的,The word 'windy' means 大風的 in Chinese.,單字 'windy' 在中文裡的意思是大風的。,15. Occupations
rainbow,彩虹,The word 'rainbow' means 彩虹 in Chinese.,單字 'rainbow' 在中文裡的意思是彩虹。,15. Occupations
snow,雪,The word 'snow' means 雪 in Chinese.,單字 'snow' 在中文裡的意思是雪。,15. Occupations
snowman,雪人,The word 'snowman' means 雪人 in Chinese.,單字 'snowman' 在中文裡的意思是雪人。,15. Occupations
typhoon,颱風,The word 'typhoon' means 颱風 in Chinese.,單字 'typhoon' 在中文裡的意思是颱風。,15. Occupations
wind,風,The word 'wind' means 風 in Chinese.,單字 'wind' 在中文裡的意思是風。,15. Occupations
blow,吹,The word 'blow' means 吹 in Chinese.,單字 'blow' 在中文裡的意思是吹。,15. Occupations
rain,下雨,The word 'rain' means 下雨 in Chinese.,單字 'rain' 在中文裡的意思是下雨。,15. Occupations
sky,天空,The word 'sky' means 天空 in Chinese.,單字 'sky' 在中文裡的意思是天空。,15. Occupations
sun,太陽,The word 'sun' means 太陽 in Chinese.,單字 'sun' 在中文裡的意思是太陽。,15. Occupations
air,空氣,The word 'air' means 空氣 in Chinese.,單字 'air' 在中文裡的意思是空氣。,15. Occupations
earth,地球,The word 'earth' means 地球 in Chinese.,單字 'earth' 在中文裡的意思是地球。,15. Occupations
moon,月亮,The word 'moon' means 月亮 in Chinese.,單字 'moon' 在中文裡的意思是月亮。,15. Occupations
animal,動物,She has a cute animal.,她有一隻可愛的動物。,15. Occupations
bear,熊,The word 'bear' means 熊 in Chinese.,單字 'bear' 在中文裡的意思是熊。,15. Occupations
cat,貓,She has a cute cat.,她有一隻可愛的貓。,15. Occupations
chicken,雞,The word 'chicken' means 雞 in Chinese.,單字 'chicken' 在中文裡的意思是雞。,15. Occupations
cow,牛,The word 'cow' means 牛 in Chinese.,單字 'cow' 在中文裡的意思是牛。,15. Occupations
dog,狗,She has a cute dog.,她有一隻可愛的狗。,15. Occupations
duck,鴨子,The word 'duck' means 鴨子 in Chinese.,單字 'duck' 在中文裡的意思是鴨子。,15. Occupations
elephant,大象,The word 'elephant' means 大象 in Chinese.,單字 'elephant' 在中文裡的意思是大象。,15. Occupations
fox,狐狸,The word 'fox' means 狐狸 in Chinese.,單字 'fox' 在中文裡的意思是狐狸。,15. Occupations
frog,青蛙,The word 'frog' means 青蛙 in Chinese.,單字 'frog' 在中文裡的意思是青蛙。,15. Occupations
goat,山羊,The word 'goat' means 山羊 in Chinese.,單字 'goat' 在中文裡的意思是山羊。,15. Occupations
goose,鵝,The word 'goose' means 鵝 in Chinese.,單字 'goose' 在中文裡的意思是鵝。,15. Occupations
hen,母雞,The word 'hen' means 母雞 in Chinese.,單字 'hen' 在中文裡的意思是母雞。,15. Occupations
hippo,河馬,The word 'hippo' means 河馬 in Chinese.,單字 'hippo' 在中文裡的意思是河馬。,15. Occupations
horse,馬,The word 'horse' means 馬 in Chinese.,單字 'horse' 在中文裡的意思是馬。,15. Occupations
kangaroo,袋鼠,The word 'kangaroo' means 袋鼠 in Chinese.,單字 'kangaroo' 在中文裡的意思是袋鼠。,15. Occupations
koala,無尾熊,The word 'koala' means 無尾熊 in Chinese.,單字 'koala' 在中文裡的意思是無尾熊。,15. Occupations
lion,獅子,The word 'lion' means 獅子 in Chinese.,單字 'lion' 在中文裡的意思是獅子。,15. Occupations
monkey,猴子,The word 'monkey' means 猴子 in Chinese.,單字 'monkey' 在中文裡的意思是猴子。,15. Occupations
mouse,老鼠,The word 'mouse' means 老鼠 in Chinese.,單字 'mouse' 在中文裡的意思是老鼠。,15. Occupations
whale,鯨魚,The word 'whale' means 鯨魚 in Chinese.,單字 'whale' 在中文裡的意思是鯨魚。,15. Occupations
pet,寵物,She has a cute pet.,她有一隻可愛的寵物。,15. Occupations
pig,豬,The word 'pig' means 豬 in Chinese.,單字 'pig' 在中文裡的意思是豬。,15. Occupations
puppy,小狗,The word 'puppy' means 小狗 in Chinese.,單字 'puppy' 在中文裡的意思是小狗。,15. Occupations
rabbit,兔子,The word 'rabbit' means 兔子 in Chinese.,單字 'rabbit' 在中文裡的意思是兔子。,15. Occupations
rat,大老鼠,The word 'rat' means 大老鼠 in Chinese.,單字 'rat' 在中文裡的意思是大老鼠。,15. Occupations
sheep,綿羊,The word 'sheep' means 綿羊 in Chinese.,單字 'sheep' 在中文裡的意思是綿羊。,15. Occupations
tiger,老虎,The word 'tiger' means 老虎 in Chinese.,單字 'tiger' 在中文裡的意思是老虎。,15. Occupations
turkey,火雞,The word 'turkey' means 火雞 in Chinese.,單字 'turkey' 在中文裡的意思是火雞。,15. Occupations
zebra,斑馬,The word 'zebra' means 斑馬 in Chinese.,單字 'zebra' 在中文裡的意思是斑馬。,15. Occupations
insect,昆蟲,The word 'insect' means 昆蟲 in Chinese.,單字 'insect' 在中文裡的意思是昆蟲。,15. Occupations
ant,螞蟻,The word 'ant' means 螞蟻 in Chinese.,單字 'ant' 在中文裡的意思是螞蟻。,15. Occupations
bat,蝙蝠,The word 'bat' means 蝙蝠 in Chinese.,單字 'bat' 在中文裡的意思是蝙蝠。,15. Occupations
bee,蜜蜂,The word 'bee' means 蜜蜂 in Chinese.,單字 'bee' 在中文裡的意思是蜜蜂。,15. Occupations
bird,鳥,She has a cute bird.,她有一隻可愛的鳥。,15. Occupations
bug,蟲,The word 'bug' means 蟲 in Chinese.,單字 'bug' 在中文裡的意思是蟲。,15. Occupations
butterfly,蝴蝶,The word 'butterfly' means 蝴蝶 in Chinese.,單字 'butterfly' 在中文裡的意思是蝴蝶。,15. Occupations
dragon,龍,The word 'dragon' means 龍 in Chinese.,單字 'dragon' 在中文裡的意思是龍。,15. Occupations
snake,蛇,The word 'snake' means 蛇 in Chinese.,單字 'snake' 在中文裡的意思是蛇。,15. Occupations
spider,蜘蛛,The word 'spider' means 蜘蛛 in Chinese.,單字 'spider' 在中文裡的意思是蜘蛛。,15. Occupations
shark,鯊魚,The word 'shark' means 鯊魚 in Chinese.,單字 'shark' 在中文裡的意思是鯊魚。,15. Occupations
turtle,烏龜,The word 'turtle' means 烏龜 in Chinese.,單字 'turtle' 在中文裡的意思是烏龜。,15. Occupations
be,動詞，助動詞,The word 'be' means 動詞，助動詞 in Chinese.,單字 'be' 在中文裡的意思是動詞，助動詞。,15. Occupations
did done),過去分詞助動詞可以將會(會)是,The word 'did done)' means 過去分詞助動詞可以將會(會)是 in Chinese.,單字 'did done)' 在中文裡的意思是過去分詞助動詞可以將會(會)是。,15. Occupations
(be,動詞)助動詞,The word '(be' means 動詞)助動詞 in Chinese.,單字 '(be' 在中文裡的意思是動詞)助動詞。,15. Occupations
may (might) must,必須,The word 'may (might) must' means 必須 in Chinese.,單字 'may (might) must' 在中文裡的意思是必須。,19. Prepositions
shall,應該,The word 'shall' means 應該 in Chinese.,單字 'shall' 在中文裡的意思是應該。,19. Prepositions
should,應該可能,The word 'should' means 應該可能 in Chinese.,單字 'should' 在中文裡的意思是應該可能。,19. Prepositions
about,大約,The word 'about' means 大約 in Chinese.,單字 'about' 在中文裡的意思是大約。,19. Prepositions
above,在…之上,The word 'above' means 在…之上 in Chinese.,單字 'above' 在中文裡的意思是在…之上。,19. Prepositions
after,在,The word 'after' means 在 in Chinese.,單字 'after' 在中文裡的意思是在。,19. Prepositions
along,沿著,The word 'along' means 沿著 in Chinese.,單字 'along' 在中文裡的意思是沿著。,19. Prepositions
around,附近,The word 'around' means 附近 in Chinese.,單字 'around' 在中文裡的意思是附近。,19. Prepositions
beside,在…旁邊,The word 'beside' means 在…旁邊 in Chinese.,單字 'beside' 在中文裡的意思是在…旁邊。,19. Prepositions
at,在,The word 'at' means 在 in Chinese.,單字 'at' 在中文裡的意思是在。,19. Prepositions
before,在…之前,The word 'before' means 在…之前 in Chinese.,單字 'before' 在中文裡的意思是在…之前。,19. Prepositions
behind,在…之後,The word 'behind' means 在…之後 in Chinese.,單字 'behind' 在中文裡的意思是在…之後。,19. Prepositions
below,在,The word 'below' means 在 in Chinese.,單字 'below' 在中文裡的意思是在。,19. Prepositions
by,靠；被,The word 'by' means 靠；被 in Chinese.,單字 'by' 在中文裡的意思是靠；被。,19. Prepositions
down,下,The word 'down' means 下 in Chinese.,單字 'down' 在中文裡的意思是下。,19. Prepositions
during,在..期間,The word 'during' means 在..期間 in Chinese.,單字 'during' 在中文裡的意思是在..期間。,19. Prepositions
under,在…之下,The word 'under' means 在…之下 in Chinese.,單字 'under' 在中文裡的意思是在…之下。,19. Prepositions
behind in front of until,直到,The word 'behind in front of until' means 直到 in Chinese.,單字 'behind in front of until' 在中文裡的意思是直到。,19. Prepositions
from,從,The word 'from' means 從 in Chinese.,單字 'from' 在中文裡的意思是從。,19. Prepositions
in,在…裡面在…後面在…前面,The word 'in' means 在…裡面在…後面在…前面 in Chinese.,單字 'in' 在中文裡的意思是在…裡面在…後面在…前面。,19. Prepositions
inside,在…裡面,The word 'inside' means 在…裡面 in Chinese.,單字 'inside' 在中文裡的意思是在…裡面。,19. Prepositions
near,附近,The word 'near' means 附近 in Chinese.,單字 'near' 在中文裡的意思是附近。,19. Prepositions
on,在…上面,The word 'on' means 在…上面 in Chinese.,單字 'on' 在中文裡的意思是在…上面。,19. Prepositions
since,自從,The word 'since' means 自從 in Chinese.,單字 'since' 在中文裡的意思是自從。,19. Prepositions
outside,外面,The word 'outside' means 外面 in Chinese.,單字 'outside' 在中文裡的意思是外面。,19. Prepositions
over,在,The word 'over' means 在 in Chinese.,單字 'over' 在中文裡的意思是在。,19. Prepositions
next to,在旁邊,The word 'next to' means 在旁邊 in Chinese.,單字 'next to' 在中文裡的意思是在旁邊。,19. Prepositions
than,比,The word 'than' means 比 in Chinese.,單字 'than' 在中文裡的意思是比。,19. Prepositions
with,跟,The word 'with' means 跟 in Chinese.,單字 'with' 在中文裡的意思是跟。,19. Prepositions
without,沒有越過,The word 'without' means 沒有越過 in Chinese.,單字 'without' 在中文裡的意思是沒有越過。,19. Prepositions
comfortable healthy,健康的,The word 'comfortable healthy' means 健康的 in Chinese.,單字 'comfortable healthy' 在中文裡的意思是健康的。,19. Prepositions
sick,生病的,The word 'sick' means 生病的 in Chinese.,單字 'sick' 在中文裡的意思是生病的。,19. Prepositions
strong,強壯的,The word 'strong' means 強壯的 in Chinese.,單字 'strong' 在中文裡的意思是強壯的。,19. Prepositions
tired,疲勞的舒服的,I feel tired today.,我今天感到疲勞的舒服的。,19. Prepositions
weak,無力的；,The word 'weak' means 無力的； in Chinese.,單字 'weak' 在中文裡的意思是無力的；。,19. Prepositions
well,好的,The word 'well' means 好的 in Chinese.,單字 'well' 在中文裡的意思是好的。,19. Prepositions
headache,頭痛,The word 'headache' means 頭痛 in Chinese.,單字 'headache' 在中文裡的意思是頭痛。,19. Prepositions
fever,發燒虛弱的,The word 'fever' means 發燒虛弱的 in Chinese.,單字 'fever' 在中文裡的意思是發燒虛弱的。,19. Prepositions
sore throat health,健康,The word 'sore throat health' means 健康 in Chinese.,單字 'sore throat health' 在中文裡的意思是健康。,19. Prepositions
life,生命;生活,The word 'life' means 生命;生活 in Chinese.,單字 'life' 在中文裡的意思是生命;生活。,19. Prepositions
medicine,藥喉嚨痛,The word 'medicine' means 藥喉嚨痛 in Chinese.,單字 'medicine' 在中文裡的意思是藥喉嚨痛。,19. Prepositions
of Address,稱謂,The word 'of address' means 稱謂 in Chinese.,單字 'of address' 在中文裡的意思是稱謂。,19. Prepositions
Miss,小姐,The word 'miss' means 小姐 in Chinese.,單字 'miss' 在中文裡的意思是小姐。,19. Prepositions
Sir,先生/長官,The word 'sir' means 先生/長官 in Chinese.,單字 'sir' 在中文裡的意思是先生/長官。,19. Prepositions
Name,名字,The word 'name' means 名字 in Chinese.,單字 'name' 在中文裡的意思是名字。,19. Prepositions
cent,分,The word 'cent' means 分 in Chinese.,單字 'cent' 在中文裡的意思是分。,19. Prepositions
change,零錢,The word 'change' means 零錢 in Chinese.,單字 'change' 在中文裡的意思是零錢。,19. Prepositions
dollar,元,The word 'dollar' means 元 in Chinese.,單字 'dollar' 在中文裡的意思是元。,19. Prepositions
money,錢,The word 'money' means 錢 in Chinese.,單字 'money' 在中文裡的意思是錢。,19. Prepositions
price,價錢,The word 'price' means 價錢 in Chinese.,單字 'price' 在中文裡的意思是價錢。,19. Prepositions
borrow,借來,The word 'borrow' means 借來 in Chinese.,單字 'borrow' 在中文裡的意思是借來。,19. Prepositions
buy,買,The word 'buy' means 買 in Chinese.,單字 'buy' 在中文裡的意思是買。,19. Prepositions
cost,花費,The word 'cost' means 花費 in Chinese.,單字 'cost' 在中文裡的意思是花費。,19. Prepositions
lend,借出,The word 'lend' means 借出 in Chinese.,單字 'lend' 在中文裡的意思是借出。,19. Prepositions
pay,付錢,The word 'pay' means 付錢 in Chinese.,單字 'pay' 在中文裡的意思是付錢。,19. Prepositions
spend,花錢,The word 'spend' means 花錢 in Chinese.,單字 'spend' 在中文裡的意思是花錢。,19. Prepositions
cheap,便宜的,The word 'cheap' means 便宜的 in Chinese.,單字 'cheap' 在中文裡的意思是便宜的。,19. Prepositions
expensive,貴的,The word 'expensive' means 貴的 in Chinese.,單字 'expensive' 在中文裡的意思是貴的。,19. Prepositions
bowl,碗,The word 'bowl' means 碗 in Chinese.,單字 'bowl' 在中文裡的意思是碗。,19. Prepositions
chopsticks,筷子,The word 'chopsticks' means 筷子 in Chinese.,單字 'chopsticks' 在中文裡的意思是筷子。,19. Prepositions
dish,盤子,The word 'dish' means 盤子 in Chinese.,單字 'dish' 在中文裡的意思是盤子。,19. Prepositions
fork,叉子,The word 'fork' means 叉子 in Chinese.,單字 'fork' 在中文裡的意思是叉子。,19. Prepositions
glass,玻璃杯,The word 'glass' means 玻璃杯 in Chinese.,單字 'glass' 在中文裡的意思是玻璃杯。,19. Prepositions
knife,刀子,The word 'knife' means 刀子 in Chinese.,單字 'knife' 在中文裡的意思是刀子。,19. Prepositions
plate,盤子,The word 'plate' means 盤子 in Chinese.,單字 'plate' 在中文裡的意思是盤子。,19. Prepositions
spoon,湯匙,The word 'spoon' means 湯匙 in Chinese.,單字 'spoon' 在中文裡的意思是湯匙。,19. Prepositions
straw,吸管,The word 'straw' means 吸管 in Chinese.,單字 'straw' 在中文裡的意思是吸管。,19. Prepositions
black,黑色,My favorite color is black.,我最喜歡的顏色是黑色。,19. Prepositions
blue,藍色,My favorite color is blue.,我最喜歡的顏色是藍色。,19. Prepositions
brown,棕色,The word 'brown' means 棕色 in Chinese.,單字 'brown' 在中文裡的意思是棕色。,19. Prepositions
color,顏色,The word 'color' means 顏色 in Chinese.,單字 'color' 在中文裡的意思是顏色。,19. Prepositions
gray,灰色,The word 'gray' means 灰色 in Chinese.,單字 'gray' 在中文裡的意思是灰色。,19. Prepositions
green,綠色,My favorite color is green.,我最喜歡的顏色是綠色。,19. Prepositions
orange,橘色,I eat an orange every day.,我每天吃一個橘色。,19. Prepositions
pink,粉紅色,The word 'pink' means 粉紅色 in Chinese.,單字 'pink' 在中文裡的意思是粉紅色。,19. Prepositions
purple,紫色,The word 'purple' means 紫色 in Chinese.,單字 'purple' 在中文裡的意思是紫色。,19. Prepositions
red,紅色,My favorite color is red.,我最喜歡的顏色是紅色。,19. Prepositions
white,白色,My favorite color is white.,我最喜歡的顏色是白色。,19. Prepositions
yellow,黃色,My favorite color is yellow.,我最喜歡的顏色是黃色。,19. Prepositions
and areas,國家地區&語言,The word 'and areas' means 國家地區&語言 in Chinese.,單字 'and areas' 在中文裡的意思是國家地區&語言。,19. Prepositions
country,國家,The word 'country' means 國家 in Chinese.,單字 'country' 在中文裡的意思是國家。,19. Prepositions
world,世界,The word 'world' means 世界 in Chinese.,單字 'world' 在中文裡的意思是世界。,19. Prepositions
America,美國,The word 'america' means 美國 in Chinese.,單字 'america' 在中文裡的意思是美國。,19. Prepositions
China,中國,The word 'china' means 中國 in Chinese.,單字 'china' 在中文裡的意思是中國。,19. Prepositions
Taiwan,台灣,The word 'taiwan' means 台灣 in Chinese.,單字 'taiwan' 在中文裡的意思是台灣。,19. Prepositions
ROC,中華民國,The word 'roc' means 中華民國 in Chinese.,單字 'roc' 在中文裡的意思是中華民國。,19. Prepositions
USA,美國,The word 'usa' means 美國 in Chinese.,單字 'usa' 在中文裡的意思是美國。,19. Prepositions
Taiwanese,台語,The word 'taiwanese' means 台語 in Chinese.,單字 'taiwanese' 在中文裡的意思是台語。,19. Prepositions
Christmas,聖誕節,The word 'christmas' means 聖誕節 in Chinese.,單字 'christmas' 在中文裡的意思是聖誕節。,27. Geographical terms
Day Easter,復活節萬聖節元旦母親節,The word 'day easter' means 復活節萬聖節元旦母親節 in Chinese.,單字 'day easter' 在中文裡的意思是復活節萬聖節元旦母親節。,27. Geographical terms
Day Festival,節慶,The word 'day festival' means 節慶 in Chinese.,單字 'day festival' 在中文裡的意思是節慶。,27. Geographical terms
Holiday,假日,The word 'holiday' means 假日 in Chinese.,單字 'holiday' 在中文裡的意思是假日。,27. Geographical terms
Vacation,假期,The word 'vacation' means 假期 in Chinese.,單字 'vacation' 在中文裡的意思是假期。,27. Geographical terms
Celebrate,慶祝父親節,The word 'celebrate' means 慶祝父親節 in Chinese.,單字 'celebrate' 在中文裡的意思是慶祝父親節。,27. Geographical terms
bank,銀行;河床,The word 'bank' means 銀行;河床 in Chinese.,單字 'bank' 在中文裡的意思是銀行;河床。,27. Geographical terms
hill,山丘,The word 'hill' means 山丘 in Chinese.,單字 'hill' 在中文裡的意思是山丘。,27. Geographical terms
island,島嶼,The word 'island' means 島嶼 in Chinese.,單字 'island' 在中文裡的意思是島嶼。,27. Geographical terms
lake,湖,The word 'lake' means 湖 in Chinese.,單字 'lake' 在中文裡的意思是湖。,27. Geographical terms
mountain,山,The word 'mountain' means 山 in Chinese.,單字 'mountain' 在中文裡的意思是山。,27. Geographical terms
pond,池塘,The word 'pond' means 池塘 in Chinese.,單字 'pond' 在中文裡的意思是池塘。,27. Geographical terms
pool,泳池,The word 'pool' means 泳池 in Chinese.,單字 'pool' 在中文裡的意思是泳池。,27. Geographical terms
river,河流,The word 'river' means 河流 in Chinese.,單字 'river' 在中文裡的意思是河流。,27. Geographical terms
sea,海,The word 'sea' means 海 in Chinese.,單字 'sea' 在中文裡的意思是海。,27. Geographical terms
a,一...,The word 'a' means 一... in Chinese.,單字 'a' 在中文裡的意思是一...。,27. Geographical terms
every,每一...,The word 'every' means 每一... in Chinese.,單字 'every' 在中文裡的意思是每一...。,27. Geographical terms
the,冠詞,The word 'the' means 冠詞 in Chinese.,單字 'the' 在中文裡的意思是冠詞。,27. Geographical terms
this,這個,The word 'this' means 這個 in Chinese.,單字 'this' 在中文裡的意思是這個。,27. Geographical terms
that,那個,The word 'that' means 那個 in Chinese.,單字 'that' 在中文裡的意思是那個。,27. Geographical terms
these,這些,The word 'these' means 這些 in Chinese.,單字 'these' 在中文裡的意思是這些。,27. Geographical terms
those,那些,The word 'those' means 那些 in Chinese.,單字 'those' 在中文裡的意思是那些。,27. Geographical terms
my,我的,The word 'my' means 我的 in Chinese.,單字 'my' 在中文裡的意思是我的。,27. Geographical terms
our,我們的,The word 'our' means 我們的 in Chinese.,單字 'our' 在中文裡的意思是我們的。,27. Geographical terms
your,你的,The word 'your' means 你的 in Chinese.,單字 'your' 在中文裡的意思是你的。,27. Geographical terms
his,他的,The word 'his' means 他的 in Chinese.,單字 'his' 在中文裡的意思是他的。,27. Geographical terms
her,她的,The word 'her' means 她的 in Chinese.,單字 'her' 在中文裡的意思是她的。,27. Geographical terms
its,它的,The word 'its' means 它的 in Chinese.,單字 'its' 在中文裡的意思是它的。,27. Geographical terms
their,他們的,The word 'their' means 他們的 in Chinese.,單字 'their' 在中文裡的意思是他們的。,27. Geographical terms
Wh,單字,The word 'wh' means 單字 in Chinese.,單字 'wh' 在中文裡的意思是單字。,27. Geographical terms
how,如何,The word 'how' means 如何 in Chinese.,單字 'how' 在中文裡的意思是如何。,27. Geographical terms
what,什麼,The word 'what' means 什麼 in Chinese.,單字 'what' 在中文裡的意思是什麼。,27. Geographical terms
which,哪一個,The word 'which' means 哪一個 in Chinese.,單字 'which' 在中文裡的意思是哪一個。,27. Geographical terms
who,誰,The word 'who' means 誰 in Chinese.,單字 'who' 在中文裡的意思是誰。,27. Geographical terms
whose,誰的,The word 'whose' means 誰的 in Chinese.,單字 'whose' 在中文裡的意思是誰的。,27. Geographical terms
when,何時,The word 'when' means 何時 in Chinese.,單字 'when' 在中文裡的意思是何時。,27. Geographical terms
where,哪裡,The word 'where' means 哪裡 in Chinese.,單字 'where' 在中文裡的意思是哪裡。,27. Geographical terms
whether,是否,The word 'whether' means 是否 in Chinese.,單字 'whether' 在中文裡的意思是是否。,27. Geographical terms
why,為什麼,The word 'why' means 為什麼 in Chinese.,單字 'why' 在中文裡的意思是為什麼。,27. Geographical terms
and,和,The word 'and' means 和 in Chinese.,單字 'and' 在中文裡的意思是和。,27. Geographical terms
as,跟...一樣,The word 'as' means 跟...一樣 in Chinese.,單字 'as' 在中文裡的意思是跟...一樣。,27. Geographical terms
because,因為,The word 'because' means 因為 in Chinese.,單字 'because' 在中文裡的意思是因為。,27. Geographical terms
but,可是,The word 'but' means 可是 in Chinese.,單字 'but' 在中文裡的意思是可是。,27. Geographical terms
however,但是,The word 'however' means 但是 in Chinese.,單字 'however' 在中文裡的意思是但是。,27. Geographical terms
if,如果,The word 'if' means 如果 in Chinese.,單字 'if' 在中文裡的意思是如果。,27. Geographical terms
